CITI001,restarted,2014-11-01 07:04:53.497
MLC0005,restarted,2014-11-01 07:04:54.330
MLC0001,restarted,2014-11-01 07:04:55.653
DMC0003,offline,2014-11-01 07:04:56.067
MLC0013,restarted,2014-11-01 07:05:01.047
BL002,offline,2014-11-01 07:05:01.093
TL5002,offline,2014-11-01 07:05:02.593
DMC026,offline,2014-11-01 07:05:04.140
TL902,offline,2014-11-01 07:05:06.987
CITI007,offline,2014-11-01 07:05:06.993
MLC0016,restarted,2014-11-01 07:05:08.487
CRR008,offline,2014-11-01 07:05:09.863
MLC0009,restarted,2014-11-01 07:05:10.050
CITI009,restarted,2014-11-01 07:05:12.330
CRR014,offline,2014-11-01 07:05:12.980
DMC0010,offline,2014-11-01 07:05:13.290
CRR015,offline,2014-11-01 07:05:13.640
CRR016,offline,2014-11-01 07:05:15.523
BL001,offline,2014-11-01 07:05:15.743
RIS01,offline,2014-11-01 07:05:17.687
TC601,restarted,2014-11-01 07:05:17.977
CITI025,offline,2014-11-01 07:05:18.080
CRR017,offline,2014-11-01 07:05:19.450
TL5001,offline,2014-11-01 07:05:20.097
MLC0008,restarted,2014-11-01 07:05:20.140
TC4001,restarted,2014-11-01 07:05:20.710
CRR010,offline,2014-11-01 07:05:25.017
DMC0001,offline,2014-11-01 07:05:30.093
DMC0008,offline,2014-11-01 07:05:33.010
TL7001,offline,2014-11-01 07:05:33.670
MLC0014,offline,2014-11-01 07:05:34.750
RIS13,offline,2014-11-01 07:05:34.760
DMC0012,offline,2014-11-01 07:05:34.833
DMC0024,offline,2014-11-01 07:05:34.853
TL702,restarted,2014-11-01 07:05:36.643
DMC0004,offline,2014-11-01 07:05:36.650
DMC026,restarted,2014-11-01 07:06:05.510
DMC0002,offline,2014-11-01 07:06:05.517
RIS12,offline,2014-11-01 07:06:05.520
CITI020,offline,2014-11-01 07:06:05.520
CITI023,offline,2014-11-01 07:06:05.527
RIS010,offline,2014-11-01 07:06:05.527
CITI015,offline,2014-11-01 07:06:05.533
RIS22,offline,2014-11-01 07:06:05.533
DMC0020,offline,2014-11-01 07:06:05.540
RIS006,offline,2014-11-01 07:06:05.543
RIS11,offline,2014-11-01 07:06:05.547
RIS09,offline,2014-11-01 07:06:05.550
MLC0015,offline,2014-11-01 07:06:05.557
CITI014,offline,2014-11-01 07:06:05.560
RIS23,offline,2014-11-01 07:06:05.563
INC008,offline,2014-11-01 07:06:05.567
CITI022,offline,2014-11-01 07:06:05.570
CRR015,restarted,2014-11-01 07:06:05.573
CRR016,restarted,2014-11-01 07:06:05.577
CITI016,offline,2014-11-01 07:06:05.580
CRR013,offline,2014-11-01 07:06:05.587
RIS19,offline,2014-11-01 07:06:05.590
CITI012,offline,2014-11-01 07:06:05.593
CRR014,restarted,2014-11-01 07:06:05.597
CRR008,restarted,2014-11-01 07:06:05.600
TC20001,offline,2014-11-01 07:06:05.603
RIS14,offline,2014-11-01 07:06:05.607
RIS18,offline,2014-11-01 07:06:05.610
DMC0015,offline,2014-11-01 07:06:05.617
CITI013,offline,2014-11-01 07:06:05.620
TL30002,restarted,2014-11-01 07:06:05.623
CITI025,restarted,2014-11-01 07:06:05.627
TL802,restarted,2014-11-01 07:06:05.630
DMC0016,offline,2014-11-01 07:06:05.633
RIS07,offline,2014-11-01 07:06:05.637
CITI007,restarted,2014-11-01 07:06:05.640
DMC0014,offline,2014-11-01 07:06:05.643
CITI011,offline,2014-11-01 07:06:05.650
INC004,offline,2014-11-01 07:06:05.653
RIS01,restarted,2014-11-01 07:06:05.657
TL801,restarted,2014-11-01 07:06:05.660
DMC0013,offline,2014-11-01 07:06:05.663
DMC0006,offline,2014-11-01 07:06:05.667
CRR006,offline,2014-11-01 07:06:05.670
DMC0010,restarted,2014-11-01 07:06:05.673
MLC0003,restarted,2014-11-01 07:06:05.680
CRR007,offline,2014-11-01 07:06:05.683
CRR012,offline,2014-11-01 07:06:05.687
CRR017,restarted,2014-11-01 07:06:05.693
DMC0017,offline,2014-11-01 07:06:05.697
